index,Learning Rate, Epoch,Batch Size,PCA Comp,k-fold,Norm,Loss
79,  0.1, 100, 128, 100, 10, z-score norm  ,0.9155
80,  0.1, 100, 256, 5, 10, min-max norm  ,0.6055
81,  0.1, 100, 256, 5, 10, z-score norm  ,0.6606666666666666
82,  0.1, 100, 256, 10, 10, min-max norm  ,0.741
83,  0.1, 100, 256, 10, 10, z-score norm  ,0.79
84,  0.1, 100, 256, 50, 10, min-max norm  ,0.6551666666666667
85,  0.1, 100, 256, 50, 10, z-score norm  ,0.898
86,  0.1, 100, 256, 100, 10, min-max norm  ,0.39616666666666667
87,  0.1, 100, 256, 100, 10, z-score norm  ,0.9125
88,  0.1, 100, 500, 5, 10, min-max norm  ,0.565
89,  0.1, 100, 500, 5, 10, z-score norm  ,0.651
90,  0.1, 100, 500, 10, 10, min-max norm  ,0.7061666666666667
91,  0.1, 100, 500, 10, 10, z-score norm  ,0.7923333333333333
92,  0.1, 100, 500, 50, 10, min-max norm  ,0.5646666666666667
93,  0.1, 100, 500, 50, 10, z-score norm  ,0.901
94,  0.1, 100, 500, 100, 10, min-max norm  ,0.38433333333333336
95,  0.1, 100, 500, 100, 10, z-score norm  ,0.9141666666666667
96,  0.1, 200, 64, 5, 10, min-max norm  ,0.6608333333333334
97,  0.1, 200, 64, 5, 10, z-score norm  ,0.67
98,  0.1, 200, 64, 10, 10, min-max norm  ,0.7788333333333334
99,  0.1, 200, 64, 10, 10, z-score norm  ,0.8016666666666666
100,  0.1, 200, 64, 50, 10, min-max norm  ,0.8098333333333333
101,  0.1, 200, 64, 50, 10, z-score norm  ,0.9048333333333334
102,  0.1, 200, 64, 100, 10, min-max norm  ,0.7128333333333333
103,  0.1, 200, 64, 100, 10, z-score norm  ,0.9163333333333333
104,  0.1, 200, 128, 5, 10, min-max norm  ,0.6523333333333333
105,  0.1, 200, 128, 5, 10, z-score norm  ,0.6696666666666666
106,  0.1, 200, 128, 10, 10, min-max norm  ,0.757
107,  0.1, 200, 128, 10, 10, z-score norm  ,0.7923333333333333
108,  0.1, 200, 128, 50, 10, min-max norm  ,0.7815
109,  0.1, 200, 128, 50, 10, z-score norm  ,0.9088333333333334
110,  0.1, 200, 128, 100, 10, min-max norm  ,0.7418333333333333
111,  0.1, 200, 128, 100, 10, z-score norm  ,0.9145
112,  0.1, 200, 256, 5, 10, min-max norm  ,0.6295
113,  0.1, 200, 256, 5, 10, z-score norm  ,0.6721666666666667
114,  0.1, 200, 256, 10, 10, min-max norm  ,0.7468333333333333
115,  0.1, 200, 256, 10, 10, z-score norm  ,0.7975
116,  0.1, 200, 256, 50, 10, min-max norm  ,0.7415
117,  0.1, 200, 256, 50, 10, z-score norm  ,0.9011666666666667
118,  0.1, 200, 256, 100, 10, min-max norm  ,0.5008333333333334
119,  0.1, 200, 256, 100, 10, z-score norm  ,0.9163333333333333
120,  0.1, 200, 500, 5, 10, min-max norm  ,0.6
121,  0.1, 200, 500, 5, 10, z-score norm  ,0.6656666666666666
122,  0.1, 200, 500, 10, 10, min-max norm  ,0.7185
123,  0.1, 200, 500, 10, 10, z-score norm  ,0.8
124,  0.1, 200, 500, 50, 10, min-max norm  ,0.6306666666666667
125,  0.1, 200, 500, 50, 10, z-score norm  ,0.8991666666666667
126,  0.1, 200, 500, 100, 10, min-max norm  ,0.439
127,  0.1, 200, 500, 100, 10, z-score norm  ,0.919
128,  0.1, 500, 64, 5, 10, min-max norm  ,0.6778333333333333
129,  0.1, 500, 64, 5, 10, z-score norm  ,0.6721666666666667
130,  0.1, 500, 64, 10, 10, min-max norm  ,0.7906666666666666
131,  0.1, 500, 64, 10, 10, z-score norm  ,0.809
132,  0.1, 500, 64, 50, 10, min-max norm  ,0.8435
133,  0.1, 500, 64, 50, 10, z-score norm  ,0.9043333333333333
134,  0.1, 500, 64, 100, 10, min-max norm  ,0.8153333333333334
135,  0.1, 500, 64, 100, 10, z-score norm  ,0.9193333333333333
136,  0.1, 500, 128, 5, 10, min-max norm  ,0.669
137,  0.1, 500, 128, 5, 10, z-score norm  ,0.6783333333333333
138,  0.1, 500, 128, 10, 10, min-max norm  ,0.7865
139,  0.1, 500, 128, 10, 10, z-score norm  ,0.7893333333333333
140,  0.1, 500, 128, 50, 10, min-max norm  ,0.8251666666666667
141,  0.1, 500, 128, 50, 10, z-score norm  ,0.9068333333333334
142,  0.1, 500, 128, 100, 10, min-max norm  ,0.7795
143,  0.1, 500, 128, 100, 10, z-score norm  ,0.9143333333333333
144,  0.1, 500, 256, 5, 10, min-max norm  ,0.6515
145,  0.1, 500, 256, 5, 10, z-score norm  ,0.6691666666666667
146,  0.1, 500, 256, 10, 10, min-max norm  ,0.7675
147,  0.1, 500, 256, 10, 10, z-score norm  ,0.802
148,  0.1, 500, 256, 50, 10, min-max norm  ,0.7888333333333334
149,  0.1, 500, 256, 50, 10, z-score norm  ,0.9018333333333334
150,  0.1, 500, 256, 100, 10, min-max norm  ,0.6948333333333333
151,  0.1, 500, 256, 100, 10, z-score norm  ,0.918
152,  0.1, 500, 500, 5, 10, min-max norm  ,0.6423333333333333
153,  0.1, 500, 500, 5, 10, z-score norm  ,0.67
154,  0.1, 500, 500, 10, 10, min-max norm  ,0.7591666666666667
155,  0.1, 500, 500, 10, 10, z-score norm  ,0.8026666666666666
156,  0.1, 500, 500, 50, 10, min-max norm  ,0.7403333333333333
157,  0.1, 500, 500, 50, 10, z-score norm  ,0.9076666666666666
158,  0.1, 500, 500, 100, 10, min-max norm  ,0.6653333333333333
159,  0.1, 500, 500, 100, 10, z-score norm  ,0.9156666666666666
160,  0.01, 10, 64, 5, 10, min-max norm  ,0.419
161,  0.01, 10, 64, 5, 10, z-score norm  ,0.6378333333333334
162,  0.01, 10, 64, 10, 10, min-max norm  ,0.534
163,  0.01, 10, 64, 10, 10, z-score norm  ,0.7795
164,  0.01, 10, 64, 50, 10, min-max norm  ,0.11216666666666666
165,  0.01, 10, 64, 50, 10, z-score norm  ,0.8838333333333334
166,  0.01, 10, 64, 100, 10, min-max norm  ,0.11716666666666667
167,  0.01, 10, 64, 100, 10, z-score norm  ,0.8985
168,  0.01, 10, 128, 5, 10, min-max norm  ,0.3565
169,  0.01, 10, 128, 5, 10, z-score norm  ,0.615
170,  0.01, 10, 128, 10, 10, min-max norm  ,0.4668333333333333
171,  0.01, 10, 128, 10, 10, z-score norm  ,0.7648333333333334
172,  0.01, 10, 128, 50, 10, min-max norm  ,0.1165
173,  0.01, 10, 128, 50, 10, z-score norm  ,0.8788333333333334
174,  0.01, 10, 128, 100, 10, min-max norm  ,0.10966666666666666
175,  0.01, 10, 128, 100, 10, z-score norm  ,0.8881666666666667
176,  0.01, 10, 256, 5, 10, min-max norm  ,0.2625
177,  0.01, 10, 256, 5, 10, z-score norm  ,0.5973333333333334
178,  0.01, 10, 256, 10, 10, min-max norm  ,0.33766666666666667
179,  0.01, 10, 256, 10, 10, z-score norm  ,0.7381666666666666
180,  0.01, 10, 256, 50, 10, min-max norm  ,0.11116666666666666
181,  0.01, 10, 256, 50, 10, z-score norm  ,0.8698333333333333
182,  0.01, 10, 256, 100, 10, min-max norm  ,0.11366666666666667
183,  0.01, 10, 256, 100, 10, z-score norm  ,0.8815
184,  0.01, 10, 500, 5, 10, min-max norm  ,0.2365
185,  0.01, 10, 500, 5, 10, z-score norm  ,0.5486666666666666
186,  0.01, 10, 500, 10, 10, min-max norm  ,0.252
187,  0.01, 10, 500, 10, 10, z-score norm  ,0.721
188,  0.01, 10, 500, 50, 10, min-max norm  ,0.11116666666666666
189,  0.01, 10, 500, 50, 10, z-score norm  ,0.8493333333333334
190,  0.01, 10, 500, 100, 10, min-max norm  ,0.11016666666666666
191,  0.01, 10, 500, 100, 10, z-score norm  ,0.8696666666666667
192,  0.01, 50, 64, 5, 10, min-max norm  ,0.5048333333333334
193,  0.01, 50, 64, 5, 10, z-score norm  ,0.6591666666666667
194,  0.01, 50, 64, 10, 10, min-max norm  ,0.6535
195,  0.01, 50, 64, 10, 10, z-score norm  ,0.785
196,  0.01, 50, 64, 50, 10, min-max norm  ,0.5181666666666667
197,  0.01, 50, 64, 50, 10, z-score norm  ,0.8953333333333333
198,  0.01, 50, 64, 100, 10, min-max norm  ,0.288
199,  0.01, 50, 64, 100, 10, z-score norm  ,0.9106666666666666
200,  0.01, 50, 128, 5, 10, min-max norm  ,0.465
201,  0.01, 50, 128, 5, 10, z-score norm  ,0.6581666666666667
202,  0.01, 50, 128, 10, 10, min-max norm  ,0.573
203,  0.01, 50, 128, 10, 10, z-score norm  ,0.7921666666666667
204,  0.01, 50, 128, 50, 10, min-max norm  ,0.22216666666666668
205,  0.01, 50, 128, 50, 10, z-score norm  ,0.9006666666666666
206,  0.01, 50, 128, 100, 10, min-max norm  ,0.1125
207,  0.01, 50, 128, 100, 10, z-score norm  ,0.9033333333333333
208,  0.01, 50, 256, 5, 10, min-max norm  ,0.42033333333333334
209,  0.01, 50, 256, 5, 10, z-score norm  ,0.6418333333333334
210,  0.01, 50, 256, 10, 10, min-max norm  ,0.54
211,  0.01, 50, 256, 10, 10, z-score norm  ,0.7816666666666666
212,  0.01, 50, 256, 50, 10, min-max norm  ,0.11333333333333333
213,  0.01, 50, 256, 50, 10, z-score norm  ,0.8945
214,  0.01, 50, 256, 100, 10, min-max norm  ,0.1155
215,  0.01, 50, 256, 100, 10, z-score norm  ,0.9008333333333334
216,  0.01, 50, 500, 5, 10, min-max norm  ,0.37766666666666665
217,  0.01, 50, 500, 5, 10, z-score norm  ,0.6333333333333333
218,  0.01, 50, 500, 10, 10, min-max norm  ,0.4781666666666667
219,  0.01, 50, 500, 10, 10, z-score norm  ,0.7765
220,  0.01, 50, 500, 50, 10, min-max norm  ,0.11016666666666666
221,  0.01, 50, 500, 50, 10, z-score norm  ,0.8818333333333334
222,  0.01, 50, 500, 100, 10, min-max norm  ,0.1155
223,  0.01, 50, 500, 100, 10, z-score norm  ,0.8911666666666667
224,  0.01, 100, 64, 5, 10, min-max norm  ,0.554
225,  0.01, 100, 64, 5, 10, z-score norm  ,0.6558333333333334
226,  0.01, 100, 64, 10, 10, min-max norm  ,0.674
227,  0.01, 100, 64, 10, 10, z-score norm  ,0.7926666666666666
228,  0.01, 100, 64, 50, 10, min-max norm  ,0.5653333333333334
229,  0.01, 100, 64, 50, 10, z-score norm  ,0.8958333333333334
230,  0.01, 100, 64, 100, 10, min-max norm  ,0.15433333333333332
231,  0.01, 100, 64, 100, 10, z-score norm  ,0.9123333333333333
232,  0.01, 100, 128, 5, 10, min-max norm  ,0.5003333333333333
233,  0.01, 100, 128, 5, 10, z-score norm  ,0.6578333333333334
234,  0.01, 100, 128, 10, 10, min-max norm  ,0.6311666666666667
235,  0.01, 100, 128, 10, 10, z-score norm  ,0.7881666666666667
236,  0.01, 100, 128, 50, 10, min-max norm  ,0.2936666666666667
237,  0.01, 100, 128, 50, 10, z-score norm  ,0.8956666666666667
238,  0.01, 100, 128, 100, 10, min-max norm  ,0.11
239,  0.01, 100, 128, 100, 10, z-score norm  ,0.9123333333333333
240,  0.01, 100, 256, 5, 10, min-max norm  ,0.454
241,  0.01, 100, 256, 5, 10, z-score norm  ,0.6548333333333334
242,  0.01, 100, 256, 10, 10, min-max norm  ,0.5816666666666667
243,  0.01, 100, 256, 10, 10, z-score norm  ,0.7908333333333334
244,  0.01, 100, 256, 50, 10, min-max norm  ,0.2045
245,  0.01, 100, 256, 50, 10, z-score norm  ,0.8936666666666667
246,  0.01, 100, 256, 100, 10, min-max norm  ,0.10883333333333334
247,  0.01, 100, 256, 100, 10, z-score norm  ,0.9075
248,  0.01, 100, 500, 5, 10, min-max norm  ,0.41883333333333334
249,  0.01, 100, 500, 5, 10, z-score norm  ,0.643
250,  0.01, 100, 500, 10, 10, min-max norm  ,0.5356666666666666
251,  0.01, 100, 500, 10, 10, z-score norm  ,0.7813333333333333
252,  0.01, 100, 500, 50, 10, min-max norm  ,0.11283333333333333
253,  0.01, 100, 500, 50, 10, z-score norm  ,0.8888333333333334
254,  0.01, 100, 500, 100, 10, min-max norm  ,0.11566666666666667
255,  0.01, 100, 500, 100, 10, z-score norm  ,0.8958333333333334
