index,Learning Rate, Epoch,Batch Size,PCA Comp,k-fold,Norm,Loss
77,  0.1, 100, 128, 50, 10, z-score norm  ,0.9844517184942717
78,  0.1, 100, 128, 100, 10, min-max norm  ,0.9427168576104746
79,  0.1, 100, 128, 100, 10, z-score norm  ,0.9844517184942717
80,  0.1, 100, 256, 5, 10, min-max norm  ,0.9639934533551555
81,  0.1, 100, 256, 5, 10, z-score norm  ,0.9656301145662848
82,  0.1, 100, 256, 10, 10, min-max norm  ,0.9664484451718495
83,  0.1, 100, 256, 10, 10, z-score norm  ,0.969721767594108
84,  0.1, 100, 256, 50, 10, min-max norm  ,0.9639934533551555
85,  0.1, 100, 256, 50, 10, z-score norm  ,0.9803600654664485
86,  0.1, 100, 256, 100, 10, min-max norm  ,0.8895253682487725
87,  0.1, 100, 256, 100, 10, z-score norm  ,0.9909983633387889
88,  0.1, 100, 500, 5, 10, min-max norm  ,0.9615384615384616
89,  0.1, 100, 500, 5, 10, z-score norm  ,0.9631751227495908
90,  0.1, 100, 500, 10, 10, min-max norm  ,0.9656301145662848
91,  0.1, 100, 500, 10, 10, z-score norm  ,0.9525368248772504
92,  0.1, 100, 500, 50, 10, min-max norm  ,0.5392798690671031
93,  0.1, 100, 500, 50, 10, z-score norm  ,0.9852700490998363
94,  0.1, 100, 500, 100, 10, min-max norm  ,0.5040916530278232
95,  0.1, 100, 500, 100, 10, z-score norm  ,0.9885433715220949
96,  0.1, 200, 64, 5, 10, min-max norm  ,0.9705400981996727
97,  0.1, 200, 64, 5, 10, z-score norm  ,0.9770867430441899
98,  0.1, 200, 64, 10, 10, min-max norm  ,0.9803600654664485
99,  0.1, 200, 64, 10, 10, z-score norm  ,0.9680851063829787
100,  0.1, 200, 64, 50, 10, min-max norm  ,0.972176759410802
101,  0.1, 200, 64, 50, 10, z-score norm  ,0.9901800327332242
102,  0.1, 200, 64, 100, 10, min-max norm  ,0.9705400981996727
103,  0.1, 200, 64, 100, 10, z-score norm  ,0.9795417348608838
104,  0.1, 200, 128, 5, 10, min-max norm  ,0.9664484451718495
105,  0.1, 200, 128, 5, 10, z-score norm  ,0.9648117839607201
106,  0.1, 200, 128, 10, 10, min-max norm  ,0.9754500818330606
107,  0.1, 200, 128, 10, 10, z-score norm  ,0.9623567921440261
108,  0.1, 200, 128, 50, 10, min-max norm  ,0.9664484451718495
109,  0.1, 200, 128, 50, 10, z-score norm  ,0.9893617021276596
110,  0.1, 200, 128, 100, 10, min-max norm  ,0.972176759410802
111,  0.1, 200, 128, 100, 10, z-score norm  ,0.9811783960720131
112,  0.1, 200, 256, 5, 10, min-max norm  ,0.9680851063829787
113,  0.1, 200, 256, 5, 10, z-score norm  ,0.9599018003273322
114,  0.1, 200, 256, 10, 10, min-max norm  ,0.9664484451718495
115,  0.1, 200, 256, 10, 10, z-score norm  ,0.9615384615384616
116,  0.1, 200, 256, 50, 10, min-max norm  ,0.9607201309328969
117,  0.1, 200, 256, 50, 10, z-score norm  ,0.9909983633387889
118,  0.1, 200, 256, 100, 10, min-max norm  ,0.9451718494271686
119,  0.1, 200, 256, 100, 10, z-score norm  ,0.9787234042553191
120,  0.1, 200, 500, 5, 10, min-max norm  ,0.967266775777414
121,  0.1, 200, 500, 5, 10, z-score norm  ,0.9656301145662848
122,  0.1, 200, 500, 10, 10, min-max norm  ,0.9607201309328969
123,  0.1, 200, 500, 10, 10, z-score norm  ,0.9574468085106383
124,  0.1, 200, 500, 50, 10, min-max norm  ,0.7635024549918167
125,  0.1, 200, 500, 50, 10, z-score norm  ,0.9828150572831423
126,  0.1, 200, 500, 100, 10, min-max norm  ,0.5130932896890343
127,  0.1, 200, 500, 100, 10, z-score norm  ,0.9877250409165302
128,  0.1, 500, 64, 5, 10, min-max norm  ,0.9705400981996727
129,  0.1, 500, 64, 5, 10, z-score norm  ,0.9803600654664485
130,  0.1, 500, 64, 10, 10, min-max norm  ,0.9779050736497545
131,  0.1, 500, 64, 10, 10, z-score norm  ,0.9664484451718495
132,  0.1, 500, 64, 50, 10, min-max norm  ,0.9795417348608838
133,  0.1, 500, 64, 50, 10, z-score norm  ,0.9828150572831423
134,  0.1, 500, 64, 100, 10, min-max norm  ,0.9795417348608838
135,  0.1, 500, 64, 100, 10, z-score norm  ,0.9885433715220949
136,  0.1, 500, 128, 5, 10, min-max norm  ,0.9680851063829787
137,  0.1, 500, 128, 5, 10, z-score norm  ,0.9713584288052373
138,  0.1, 500, 128, 10, 10, min-max norm  ,0.9746317512274959
139,  0.1, 500, 128, 10, 10, z-score norm  ,0.9631751227495908
