index,Learning Rate, Epoch,Batch Size,PCA Comp,k-fold,Norm,Loss
76,  0.1, 100, 128, 50, 10, min-max norm  ,0.9228039041703638
77,  0.1, 100, 128, 50, 10, z-score norm  ,0.9529724933451642
78,  0.1, 100, 128, 100, 10, min-max norm  ,0.5661047027506655
79,  0.1, 100, 128, 100, 10, z-score norm  ,0.9574090505767524
80,  0.1, 100, 256, 5, 10, min-max norm  ,0.6362023070097604
81,  0.1, 100, 256, 5, 10, z-score norm  ,0.6708074534161491
82,  0.1, 100, 256, 10, 10, min-max norm  ,0.904170363797693
83,  0.1, 100, 256, 10, 10, z-score norm  ,0.9219165927240461
84,  0.1, 100, 256, 50, 10, min-max norm  ,0.9254658385093167
85,  0.1, 100, 256, 50, 10, z-score norm  ,0.9432120674356699
86,  0.1, 100, 256, 100, 10, min-max norm  ,0.6282165039929015
87,  0.1, 100, 256, 100, 10, z-score norm  ,0.9627329192546584
88,  0.1, 100, 500, 5, 10, min-max norm  ,0.6095829636202307
89,  0.1, 100, 500, 5, 10, z-score norm  ,0.6699201419698314
90,  0.1, 100, 500, 10, 10, min-max norm  ,0.9023957409050577
91,  0.1, 100, 500, 10, 10, z-score norm  ,0.9130434782608695
92,  0.1, 100, 500, 50, 10, min-max norm  ,0.9210292812777284
93,  0.1, 100, 500, 50, 10, z-score norm  ,0.9467613132209406
94,  0.1, 100, 500, 100, 10, min-max norm  ,0.5226264418811003
95,  0.1, 100, 500, 100, 10, z-score norm  ,0.9627329192546584
96,  0.1, 200, 64, 5, 10, min-max norm  ,0.6699201419698314
97,  0.1, 200, 64, 5, 10, z-score norm  ,0.6592724046140195
98,  0.1, 200, 64, 10, 10, min-max norm  ,0.9121561668145519
99,  0.1, 200, 64, 10, 10, z-score norm  ,0.9112688553682342
100,  0.1, 200, 64, 50, 10, min-max norm  ,0.935226264418811
101,  0.1, 200, 64, 50, 10, z-score norm  ,0.9565217391304348
102,  0.1, 200, 64, 100, 10, min-max norm  ,0.9423247559893523
103,  0.1, 200, 64, 100, 10, z-score norm  ,0.9724933451641526
104,  0.1, 200, 128, 5, 10, min-max norm  ,0.6441881100266194
105,  0.1, 200, 128, 5, 10, z-score norm  ,0.6610470275066548
106,  0.1, 200, 128, 10, 10, min-max norm  ,0.9174800354924578
107,  0.1, 200, 128, 10, 10, z-score norm  ,0.9086069210292813
108,  0.1, 200, 128, 50, 10, min-max norm  ,0.9281277728482697
109,  0.1, 200, 128, 50, 10, z-score norm  ,0.9574090505767524
110,  0.1, 200, 128, 100, 10, min-max norm  ,0.8243123336291038
111,  0.1, 200, 128, 100, 10, z-score norm  ,0.9520851818988465
112,  0.1, 200, 256, 5, 10, min-max norm  ,0.639751552795031
113,  0.1, 200, 256, 5, 10, z-score norm  ,0.6459627329192547
114,  0.1, 200, 256, 10, 10, min-max norm  ,0.9077196095829636
115,  0.1, 200, 256, 10, 10, z-score norm  ,0.9174800354924578
116,  0.1, 200, 256, 50, 10, min-max norm  ,0.9325643300798581
117,  0.1, 200, 256, 50, 10, z-score norm  ,0.9511978704525288
118,  0.1, 200, 256, 100, 10, min-max norm  ,0.9086069210292813
119,  0.1, 200, 256, 100, 10, z-score norm  ,0.9582963620230701
120,  0.1, 200, 500, 5, 10, min-max norm  ,0.6193433895297249
121,  0.1, 200, 500, 5, 10, z-score norm  ,0.6610470275066548
122,  0.1, 200, 500, 10, 10, min-max norm  ,0.9050576752440106
123,  0.1, 200, 500, 10, 10, z-score norm  ,0.9219165927240461
124,  0.1, 200, 500, 50, 10, min-max norm  ,0.929902395740905
125,  0.1, 200, 500, 50, 10, z-score norm  ,0.9556344276841171
126,  0.1, 200, 500, 100, 10, min-max norm  ,0.6672582076308784
127,  0.1, 200, 500, 100, 10, z-score norm  ,0.966282165039929
